ResponseID,Respondent,Scenario,ScenarioNumber,ScenarioLabel,Question,QuestionType,ResponseText,SourceDate,FollowupNeeded,Status,Version,ChangeNote,PredictedChilds,PredictedParents,ChangeDate
99,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,active sensor collection requirements,2025-10-06,,Draft,v0.2,Initial classification,Hardware|uncategorised,Vehicle Capabilities And Constraints|uncategorised,2025-10-12
100,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,GPS fixing requirements/frequency,2025-10-06,,Draft,v0.2,Initial classification,Comms Infrastructure|Navigation Systems,Communications And Control|Navigation And Positioning,2025-10-12
101,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,accuracy requirements (sensors),2025-10-06,,Draft,v0.2,Initial classification,Accuracy And Hazards|uncategorised,Navigation And Positioning|uncategorised,2025-10-12
102,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,accuracy requirements (navigation),2025-10-06,,Draft,v0.2,Initial classification,Route And Trajectory,Navigation And Positioning,2025-10-12
103,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,min depth of vehicle,2025-10-06,,Draft,v0.1,Initial merge,uncategorised,uncategorised,
104,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,vector electronic navigational charts data of route and AO,2025-10-06,,Draft,v0.2,Initial classification,Quality And Confidence|Route And Trajectory,Navigation And Positioning|Terrain And Bathymetry,2025-10-12
105,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,vehicle speed limitations and parameters,2025-10-06,,Draft,v0.2,Initial classification,Performance,Vehicle Capabilities And Constraints,2025-10-12
106,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,vehicle communication requirements,2025-10-06,,Draft,v0.2,Initial classification,Comms Infrastructure|Hardware,Communications And Control|Vehicle Capabilities And Constraints,2025-10-12
107,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,navigational hazards of route and AO,2025-10-06,,Draft,v0.2,Initial classification,Hazards|Route And Trajectory,Navigation And Positioning,2025-10-12
108,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,no-go zones of route and AO,2025-10-06,,Draft,v0.2,Initial classification,Route And Trajectory,Navigation And Positioning,2025-10-12
109,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,dive/ascent process/time,2025-10-06,,Draft,v0.1,Initial merge,uncategorised,uncategorised,
110,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,"actions on (loss of comms, loss of vehicle, etc.)",2025-10-06,,Draft,v0.2,Initial classification,Hardware,Vehicle Capabilities And Constraints,2025-10-12
111,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,search area/AO coordinates,2025-10-06,,Draft,v0.2,Initial classification,Spatial Reference,Navigation And Positioning,2025-10-12
112,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,mission/collection requirements,2025-10-06,,Draft,v0.2,Initial classification,Objectives|uncategorised,Mission Parameters And Objectives|uncategorised,2025-10-12
113,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,zone of confidence of route and AO,2025-10-06,,Draft,v0.2,Initial classification,Route And Trajectory,Navigation And Positioning,2025-10-12
114,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,equipment limitations of in service capabilities,2025-10-06,,Draft,v0.2,Initial classification,System Constraints,Vehicle Capabilities And Constraints,2025-10-12
115,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,timings (hard left/right),2025-10-06,,Draft,v0.2,Initial classification,Temporal Aspects|uncategorised,Mission Parameters And Objectives|uncategorised,2025-10-12
116,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,endurance of vehicle,2025-10-06,,Draft,v0.2,Initial classification,Performance,Vehicle Capabilities And Constraints,2025-10-12
117,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,GPS fixing requirements/frequency,2025-10-06,,Draft,v0.2,Initial classification,Navigation Systems,Navigation And Positioning,2025-10-12
118,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,accuracy requirements (sensors),2025-10-06,,Draft,v0.2,Initial classification,Accuracy And Hazards|uncategorised,Navigation And Positioning|uncategorised,2025-10-12
119,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,accuracy requirements (navigation),2025-10-06,,Draft,v0.2,Initial classification,Route And Trajectory,Navigation And Positioning,2025-10-12
120,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,max depth of vehicle,2025-10-06,,Draft,v0.1,Initial merge,uncategorised,uncategorised,
121,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,min depth of vehicle,2025-10-06,,Draft,v0.1,Initial merge,uncategorised,uncategorised,
122,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,vehicle communication requirements,2025-10-06,,Draft,v0.2,Initial classification,Comms Infrastructure|Hardware,Communications And Control|Vehicle Capabilities And Constraints,2025-10-12
123,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,navigational hazards of route and AO,2025-10-06,,Draft,v0.2,Initial classification,Route And Trajectory,Navigation And Positioning,2025-10-12
124,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,no-go zones of route and AO,2025-10-06,,Draft,v0.2,Initial classification,Route And Trajectory,Navigation And Positioning,2025-10-12
125,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,zone of confidence  of route and AO,2025-10-06,,Draft,v0.2,Initial classification,Route And Trajectory,Navigation And Positioning,2025-10-12
126,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,Understanding historical performance and known defects of equipment,2025-10-06,,Draft,v0.2,Initial classification,Analysis And Learning,Historical And Contextual Data,2025-10-12
127,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,"Understanding environmental conditions, endurance, Launch and Recovery Systems, mission speed, sensor performance, rules of engagement, etc.",2025-10-06,,Draft,v0.2,Initial classification,Environmental Context,Environmental And Oceanographic Conditions,2025-10-12
128,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,"rules of engagement, coverage %. Inform of timings",2025-10-06,,Draft,v0.2,Initial classification,Bathymetric Data Products,Terrain And Bathymetry,2025-10-12
129,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,"Time on surface, risk to surfacing (covert, surface traffic), accuracy",2025-10-06,,Draft,v0.2,Initial classification,Accuracy And Hazards,Navigation And Positioning,2025-10-12
130,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,"rules of engagement, line spacing",2025-10-06,,Draft,v0.1,Initial merge,uncategorised,uncategorised,
131,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,Confidence in route planning and maintaining position,2025-10-06,,Draft,v0.2,Initial classification,Route And Trajectory,Navigation And Positioning,2025-10-12
132,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,Informs AO. Informs if other assets are required,2025-10-06,,Draft,v0.2,Initial classification,Deployment|uncategorised,Operational Logistics|uncategorised,2025-10-12
133,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,Informs AO. Informs if other assets are required,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
134,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,"Range of host vessel, range of acoustic communications, requirement for safety vessel, etc.",2025-10-06,,Draft,v0.2,Initial classification,Performance,Vehicle Capabilities And Constraints,2025-10-12
135,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,"Improves safety of vehicle, collision avoidance tactics, route selection, etc.",2025-10-06,,Draft,v0.2,Initial classification,Safety And Mitigation,Threats And Risk Management,2025-10-12
136,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,"Navigational hazards to inform, potential  adversary influence",2025-10-06,,Draft,v0.2,Initial classification,Hazards|Route And Trajectory,Navigation And Positioning|Threats And Risk Management,2025-10-12
137,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,Confidence in understanding of AO,2025-10-06,,Draft,v0.2,Initial classification,Objectives|uncategorised,Mission Parameters And Objectives|uncategorised,2025-10-12
138,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,collision avoidance,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
139,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,sensor performance prior to mission start (bench test),2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
140,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,ephemerals/current/tides of route and AO,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
141,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,threat assessment/cyber risk of mission,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
142,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,seafloor classification/infrastructure of route and AO,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
143,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,endurance of vehicle,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
144,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,max depth of vehicle,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
145,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,min depth of vehicle,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
146,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,navigational hazards of route and AO,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
147,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,vehicle communication requirements,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
148,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,no-go zones of route and AO,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
149,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,"actions on (loss of comms, loss of vehicle, etc.)",2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
150,R002,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,zone of confidence of route and AO,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
151,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q5 - When evaluating risks, what specific risks should the system flag?",Risk Evaluation,Potential/likelihood of collision,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
152,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q5 - When evaluating risks, what specific risks should the system flag?",Risk Evaluation,Estimated battery on completion of mission,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
153,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q5 - When evaluating risks, what specific risks should the system flag?",Risk Evaluation,potential acoustic communications  performance issues,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
154,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q5 - When evaluating risks, what specific risks should the system flag?",Risk Evaluation,Factor of damage if a grounding event occurs,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
155,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q5 - When evaluating risks, what specific risks should the system flag?",Risk Evaluation,% coverage of AO achievable (time. Limitations),2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
156,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q5 - When evaluating risks, what specific risks should the system flag?",Risk Evaluation,Potential buoyancy factors/water column information,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
157,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q5 - When evaluating risks, what specific risks should the system flag?",Risk Evaluation,Total time and location on surface,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
158,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q6 - What test scenarios and supporting data does the system  need to provide to support mission planners in recording mission planning  data for future review, reuse,  or refinement?",Data Records,"Initial test check lists (pre-dive, etc.)",2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
159,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q6 - What test scenarios and supporting data does the system  need to provide to support mission planners in recording mission planning  data for future review, reuse,  or refinement?",Data Records,Signatory or user account information,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
160,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q6 - What test scenarios and supporting data does the system  need to provide to support mission planners in recording mission planning  data for future review, reuse,  or refinement?",Data Records,Specific job files to load into a template,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
161,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q6 - What test scenarios and supporting data does the system  need to provide to support mission planners in recording mission planning  data for future review, reuse,  or refinement?",Data Records,Time on task vs completion factors/ratio,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
162,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q6 - What test scenarios and supporting data does the system  need to provide to support mission planners in recording mission planning  data for future review, reuse,  or refinement?",Data Records,"holes in data, sensor performance issues",2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
163,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q6 - What test scenarios and supporting data does the system  need to provide to support mission planners in recording mission planning  data for future review, reuse,  or refinement?",Data Records,depth discrepancies,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
164,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q6 - What test scenarios and supporting data does the system  need to provide to support mission planners in recording mission planning  data for future review, reuse,  or refinement?",Data Records,track of interest,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
165,R002,Scenario 1 - Route to AOA,1,Route to AOA,"Q6 - What test scenarios and supporting data does the system  need to provide to support mission planners in recording mission planning  data for future review, reuse,  or refinement?",Data Records,Automated procedure to record contacts,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
166,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,surface/subsea traffic of route,2025-10-06,,Draft,v0.2,Initial classification,Route And Trajectory,Navigation And Positioning,2025-10-12
167,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,depth/slope or route and AO,2025-10-06,,Draft,v0.2,Initial classification,Surface Features,Terrain And Bathymetry,2025-10-12
168,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,equipment limitations of in service capabilities,2025-10-06,,Draft,v0.2,Initial classification,System Constraints,Vehicle Capabilities And Constraints,2025-10-12
169,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,bottom texture or route and AO,2025-10-06,,Draft,v0.2,Initial classification,Seafloor Characterization,Terrain And Bathymetry,2025-10-12
170,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,seafloor classification/infrastructure of route and AO,2025-10-06,,Draft,v0.2,Initial classification,Seafloor Characterization|Survey Data,Data Products And Requirements|Terrain And Bathymetry,2025-10-12
171,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,ephemerals/current/tides of route and AO,2025-10-06,,Draft,v0.2,Initial classification,Physical Processes,Environmental And Oceanographic Conditions,2025-10-12
172,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,threat assessment/cyber risk of mission,2025-10-06,,Draft,v0.2,Initial classification,Hazards|Objectives,Mission Parameters And Objectives|Threats And Risk Management,2025-10-12
173,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,timings (hard left/right),2025-10-06,,Draft,v0.2,Initial classification,Temporal Aspects|uncategorised,Mission Parameters And Objectives|uncategorised,2025-10-12
174,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,water column data of route and AO,2025-10-06,,Draft,v0.2,Initial classification,Measurement And Models,Environmental And Oceanographic Conditions,2025-10-12
175,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,launch and recovery locations and parameters,2025-10-06,,Draft,v0.2,Initial classification,Deployment|System Constraints,Operational Logistics|Vehicle Capabilities And Constraints,2025-10-12
176,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,sensor range fitted to vehicle,2025-10-06,,Draft,v0.2,Initial classification,Performance,Vehicle Capabilities And Constraints,2025-10-12
177,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,endurance of vehicle,2025-10-06,,Draft,v0.2,Initial classification,Performance|uncategorised,Vehicle Capabilities And Constraints|uncategorised,2025-10-12
178,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,max depth of vehicle,2025-10-06,,Draft,v0.2,Initial classification,Seafloor Characterization|uncategorised,Terrain And Bathymetry|uncategorised,2025-10-12
179,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,active sensor collection requirements,2025-10-06,,Draft,v0.1,Initial merge,uncategorised,uncategorised,
180,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,GPS fixing requirements/frequency,2025-10-06,,Draft,v0.2,Initial classification,Comms Infrastructure|Navigation Systems,Communications And Control|Navigation And Positioning,2025-10-12
181,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,accuracy requirements (sensors),2025-10-06,,Draft,v0.2,Initial classification,Accuracy And Hazards,Navigation And Positioning,2025-10-12
182,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,accuracy requirements (navigation),2025-10-06,,Draft,v0.2,Initial classification,Route And Trajectory,Navigation And Positioning,2025-10-12
183,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,min depth of vehicle,2025-10-06,,Draft,v0.1,Initial merge,uncategorised,uncategorised,
184,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,vector electronic navigational charts data of route and AO,2025-10-06,,Draft,v0.2,Initial classification,Route And Trajectory,Navigation And Positioning,2025-10-12
185,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,vehicle speed limitations and parameters,2025-10-06,,Draft,v0.2,Initial classification,Performance,Vehicle Capabilities And Constraints,2025-10-12
186,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,vehicle communication requirements,2025-10-06,,Draft,v0.2,Initial classification,Hardware,Vehicle Capabilities And Constraints,2025-10-12
187,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,navigational hazards of route and AO,2025-10-06,,Draft,v0.2,Initial classification,Route And Trajectory,Navigation And Positioning,2025-10-12
188,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,no-go zones of route and AO,2025-10-06,,Draft,v0.2,Initial classification,Route And Trajectory,Navigation And Positioning,2025-10-12
189,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,dive/ascent process/time,2025-10-06,,Draft,v0.1,Initial merge,uncategorised,uncategorised,
190,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,"actions on (loss of comms, loss of vehicle, etc.)",2025-10-06,,Draft,v0.2,Initial classification,Comms Infrastructure|Hardware,Communications And Control|Vehicle Capabilities And Constraints,2025-10-12
191,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,search area/AO coordinates,2025-10-06,,Draft,v0.2,Initial classification,Spatial Reference,Mission Parameters And Objectives|Navigation And Positioning,2025-10-12
192,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,mission/collection requirements,2025-10-06,,Draft,v0.2,Initial classification,Objectives,Mission Parameters And Objectives,2025-10-12
193,R002,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,zone of confidence of route and AO,2025-10-06,,Draft,v0.2,Initial classification,Route And Trajectory,Navigation And Positioning,2025-10-12
194,R002,Scenario 2 - Feature Detection,2,Feature Detection,Q2 - What estimated factors should be considered?,Route Evaluation,equipment limitations of in service capabilities,2025-10-06,,Draft,v0.2,Initial classification,System Constraints|uncategorised,Vehicle Capabilities And Constraints|uncategorised,2025-10-12
195,R002,Scenario 2 - Feature Detection,2,Feature Detection,Q2 - What estimated factors should be considered?,Route Evaluation,timings (hard left/right),2025-10-06,,Draft,v0.2,Initial classification,Temporal Aspects,Mission Parameters And Objectives,2025-10-12
